"dbh","biomass","grp"
74.88810624,3568.335352,"grp7"
90.15324151,6777.307621,"grp9"
53.50880187,2360.35663,"grp5"
48.64338076,1788.454069,"grp4"
80.92504029,5351.77079,"grp8"
66.25579385,2672.13706,"grp6"
33.44205221,650.1670954,"grp3"
58.7606684,2623.639785,"grp5"
97.98301586,7487.256318,"grp9"
60.23045963,2621.663004,"grp6"
60.54346327,2804.418575,"grp6"
28.54611943,605.1191275,"grp2"
47.30089625,987.0716201,"grp4"
72.79679974,2866.705317,"grp7"
71.75051444,3519.911768,"grp7"
65.35813116,1955.781219,"grp6"
39.92877184,1224.040958,"grp3"
35.74024411,722.7559222,"grp3"
84.57014259,5536.643687,"grp8"
49.54891068,1652.431786,"grp4"
20.89906588,196.4378527,"grp2"
79.24398503,4913.777713,"grp7"
66.2104327,3638.928537,"grp6"
39.40357756,790.5921543,"grp3"
39.3985265,904.7471668,"grp3"
15.60144125,137.5486409,"grp1"
86.64161832,5023.620413,"grp8"
24.44605762,264.7736772,"grp2"
61.28317166,1900.596629,"grp6"
84.39121648,6309.652146,"grp8"
45.54776879,1309.021392,"grp4"
59.00655208,2560.068575,"grp5"
64.0375851,3390.086717,"grp6"
88.47520858,4218.751462,"grp8"
26.79361139,344.7176645,"grp2"
75.63974706,2803.668038,"grp7"
23.05172561,187.2369444,"grp2"
62.54587632,2079.628486,"grp6"
29.76591981,606.996576,"grp2"
99.47261772,8233.539629,"grp9"
39.56141086,979.4103076,"grp3"
63.96035773,2956.551778,"grp6"
98.39380345,6551.38199,"grp9"
78.37616472,4776.758411,"grp7"
39.90677389,835.5386595,"grp3"
23.90893215,225.5189905,"grp2"
81.3439799,4066.39735,"grp8"
65.39945656,2113.122682,"grp6"
98.73440367,4595.562478,"grp9"
17.95482178,145.765714,"grp1"
96.38229926,6593.389301,"grp9"
13.28160426,71.51615495,"grp1"
56.8266419,1300.140155,"grp5"
85.43747138,3377.771025,"grp8"
25.3054262,280.871755,"grp2"
90.27916146,5856.238705,"grp9"
33.40149911,661.353857,"grp3"
88.95361266,4003.315829,"grp8"
71.22322172,2866.842712,"grp7"
17.47710167,166.3324957,"grp1"
46.21428623,1222.79026,"grp4"
78.80863949,2789.47718,"grp7"
37.91010991,698.8025413,"grp3"
94.63586916,6855.614022,"grp9"
53.17512768,1274.448115,"grp5"
70.0439452,3015.547298,"grp7"
53.49880615,2379.402686,"grp5"
68.68181727,2394.294628,"grp6"
71.247423,3797.079929,"grp7"
99.62741648,6296.474365,"grp9"
95.29353274,4164.186081,"grp9"
97.21769845,6062.187573,"grp9"
61.13868595,1821.581597,"grp6"
29.00869291,419.2921832,"grp2"
75.43393003,2603.405185,"grp7"
12.63518122,95.43708657,"grp1"
33.6457257,455.3790458,"grp3"
31.47598238,689.9615011,"grp3"
31.88027378,610.157953,"grp3"
70.35915807,3016.145552,"grp7"
35.64908763,666.8141119,"grp3"
82.84102493,3869.453062,"grp8"
77.77575641,2916.696249,"grp7"
27.89920255,504.2521685,"grp2"
77.20978961,3394.153507,"grp7"
46.06566672,1195.7242,"grp4"
83.52376389,5365.340523,"grp8"
94.02152535,8003.949155,"grp9"
31.95482836,692.3682724,"grp3"
58.58589575,2753.550332,"grp5"
69.0861583,3231.429596,"grp6"
60.84844565,1546.461584,"grp6"
91.57043248,4291.867527,"grp9"
61.75792606,2261.684552,"grp6"
82.73599122,5685.658284,"grp8"
43.56032957,942.2286259,"grp4"
84.13649272,2814.133399,"grp8"
66.63475355,2681.663382,"grp6"
67.04562616,2459.486704,"grp6"
82.01693996,6248.144873,"grp8"
60.12365005,2102.214199,"grp6"
53.39885455,1615.455033,"grp5"
92.31657359,4712.666285,"grp9"
54.95155425,1872.088741,"grp5"
61.61274896,2415.238894,"grp6"
16.96051132,141.2861459,"grp1"
23.70011747,332.195395,"grp2"
79.13202824,4078.737133,"grp7"
30.64480183,542.1837288,"grp3"
25.80892406,448.3034289,"grp2"
43.38221964,912.7601391,"grp4"
98.48879512,7627.363535,"grp9"
16.83128834,109.52786,"grp1"
97.50368917,7067.207413,"grp9"
69.73114367,3234.896394,"grp6"
34.5912248,597.0438889,"grp3"
79.94748529,2796.750306,"grp7"
48.17372527,1225.405992,"grp4"
39.78991256,963.6283344,"grp3"
88.27878529,5526.892251,"grp8"
22.68086672,212.280695,"grp2"
31.59576066,423.3192206,"grp3"
67.80723431,3516.74486,"grp6"
43.84550315,1488.517185,"grp4"
32.31189574,594.5859842,"grp3"
39.88342502,1024.134317,"grp3"
71.44955796,1992.540001,"grp7"
21.56195908,237.6521287,"grp2"
56.77808683,1529.027673,"grp5"
21.60440985,251.408836,"grp2"
56.52391711,1645.73207,"grp5"
67.6647114,1987.245848,"grp6"
46.10851416,1147.725804,"grp4"
44.08053966,890.6434146,"grp4"
55.77752718,2079.040712,"grp5"
28.8670379,448.7152448,"grp2"
80.1867725,3678.488606,"grp8"
40.96820762,1033.017237,"grp4"
39.0553313,561.5430713,"grp3"
40.10738841,820.1925085,"grp4"
16.51698445,123.9576088,"grp1"
55.05879839,2331.196715,"grp5"
96.59041305,8559.81204,"grp9"
95.81153266,4462.424161,"grp9"
75.33340413,4654.899692,"grp7"
89.29479783,4569.09009,"grp8"
50.78599614,1015.369107,"grp5"
97.22968278,3861.592714,"grp9"
75.70183401,5231.090002,"grp7"
53.60949325,1668.864347,"grp5"
55.05566089,2109.912534,"grp5"
59.95230809,2080.364126,"grp5"
95.06276424,6352.321334,"grp9"
28.76862116,555.1147029,"grp2"
79.31018846,3537.0498,"grp7"
89.07239534,5568.995602,"grp8"
87.18745116,4778.930966,"grp8"
80.91726356,4164.883915,"grp8"
63.30274927,2808.052286,"grp6"
49.80052776,2028.762642,"grp4"
97.28929088,6451.861015,"grp9"
73.39496461,2789.923039,"grp7"
33.1062051,684.7144713,"grp3"
67.06435927,3798.43392,"grp6"
24.15419059,383.1296519,"grp2"
36.52848987,528.7636572,"grp3"
15.37626848,80.12334092,"grp1"
70.99360954,2479.965062,"grp7"
44.77535755,733.2238039,"grp4"
66.01011906,1937.855996,"grp6"
94.97558828,6336.882734,"grp9"
71.31263472,4299.521095,"grp7"
86.87231809,6020.505253,"grp8"
42.03089861,620.5372639,"grp4"
25.55619678,293.4294745,"grp2"
51.29101342,1886.474176,"grp5"
57.29863669,1514.006932,"grp5"
15.64039577,101.5111598,"grp1"
33.79472987,422.8422776,"grp3"
92.09823214,5129.171748,"grp9"
74.11771112,3034.258809,"grp7"
43.06517099,785.5259824,"grp4"
77.13890115,4596.039221,"grp7"
12.69495157,93.05338515,"grp1"
27.33198464,337.6132033,"grp2"
93.82369462,6084.160047,"grp9"
22.1208177,253.2934752,"grp2"
14.86755891,74.81807182,"grp1"
16.1742914,131.3074077,"grp1"
67.62246491,3551.330938,"grp6"
27.00947484,430.2620008,"grp2"
53.75352011,1272.3378,"grp5"
43.57499076,1143.92671,"grp4"
19.65257234,189.8515301,"grp1"
42.69817605,645.0396071,"grp4"
69.47829818,3300.87326,"grp6"
58.14946095,2178.381263,"grp5"
28.80643312,429.1070261,"grp2"
69.13056349,2443.385312,"grp6"
70.37620857,3547.080825,"grp7"
55.61569384,2178.546739,"grp5"
67.02497113,3429.542677,"grp6"
36.25652453,666.560339,"grp3"
49.93541575,1965.968562,"grp4"
32.49371165,761.2135202,"grp3"
20.69840853,202.8158021,"grp2"
26.44321327,373.8998989,"grp2"
79.85315965,3999.956763,"grp7"
41.73394576,1026.967585,"grp4"
83.62038707,6496.158695,"grp8"
56.52755467,1679.311523,"grp5"
34.95621995,842.6699709,"grp3"
79.71423041,3962.416654,"grp7"
52.39579425,1773.219233,"grp5"
14.66625515,92.34704806,"grp1"
21.47804594,233.8159619,"grp2"
71.46210951,4355.026074,"grp7"
47.96883499,1209.050355,"grp4"
88.38563616,6047.05729,"grp8"
35.53901613,809.4084305,"grp3"
34.27725825,785.6953816,"grp3"
99.80829632,6347.9572,"grp9"
42.34663627,1242.915841,"grp4"
49.26444745,1290.093264,"grp4"
20.96450057,215.4561476,"grp2"
94.45451369,5338.078034,"grp9"
93.62623299,3725.472473,"grp9"
63.16351907,1487.951958,"grp6"
18.16207248,165.0732462,"grp1"
16.09760039,112.3092464,"grp1"
78.02885492,3252.428439,"grp7"
96.84865886,6335.573245,"grp9"
88.95952522,6779.111682,"grp8"
98.96149979,8807.257955,"grp9"
24.65125336,350.3630485,"grp2"
54.42960702,1875.661452,"grp5"
15.43576851,76.04542529,"grp1"
84.70472139,4579.988659,"grp8"
23.82052536,272.8550803,"grp2"
10.42502124,27.82149569,"grp1"
46.49925308,1414.159162,"grp4"
24.55179542,267.3298217,"grp2"
36.31930927,471.6676571,"grp3"
37.41267941,945.003393,"grp3"
89.07481735,4768.632817,"grp8"
51.33114231,1535.62768,"grp5"
65.65224141,2576.438569,"grp6"
44.18015034,824.8785741,"grp4"
46.13632437,1116.873815,"grp4"
83.47078251,6187.30246,"grp8"
10.09804896,45.81283079,"grp1"
53.26135755,1764.98566,"grp5"
86.95914863,4704.535398,"grp8"
48.09143946,1535.565549,"grp4"
76.31604785,3684.613461,"grp7"
78.27073186,5338.752708,"grp7"
13.06937711,88.62546296,"grp1"
43.64070151,1201.604216,"grp4"
58.32880581,2496.161422,"grp5"
33.63929496,485.0641375,"grp3"
41.89341755,1261.203749,"grp4"
97.32838889,5584.923085,"grp9"
62.59048795,2456.500123,"grp6"
70.10691957,3714.694919,"grp7"
98.97345919,5480.51317,"grp9"
25.66031749,474.4042432,"grp2"
19.34545907,261.2911175,"grp1"
80.60069412,4013.805293,"grp8"
40.85914645,749.4776987,"grp4"
82.60118581,4068.931065,"grp8"
40.25011026,899.6498764,"grp4"
97.54920951,5766.549521,"grp9"
21.64922357,269.7718623,"grp2"
20.79791126,185.7727029,"grp2"
62.27049273,2581.867613,"grp6"
12.04458306,81.27454141,"grp1"
22.65817373,260.9556815,"grp2"
12.07761686,69.00531149,"grp1"
71.20504901,2881.020306,"grp7"
29.35160949,369.2780166,"grp2"
19.50374672,158.1893662,"grp1"
78.48361011,4895.740164,"grp7"
32.56101301,642.1420735,"grp3"
47.98489766,1102.973421,"grp4"
74.44074671,3924.717454,"grp7"
22.25498464,245.2034858,"grp2"
20.20376303,223.3727394,"grp2"
22.08996366,303.5790847,"grp2"
59.32051272,2656.719043,"grp5"
39.59871026,1013.403481,"grp3"
46.01306441,1565.294044,"grp4"
