dbh,biomass
13.78697649,103.1491997
11.13281694,55.82342585
10.33595224,39.60846324
19.00298987,164.301103
10.54982269,57.31302911
11.08404111,53.93240393
10.44101739,33.28606729
12.06607387,81.04673745
43.58109434,1315.420374
10.74002474,43.8408375
10.18172367,45.48429231
10.11823984,61.00353377
10.64185342,43.35864474
10.74763562,31.32891305
16.02303593,121.5413523
11.44064753,73.98181456
12.54593982,91.14251153
16.91500357,134.1861449
13.00616535,99.93175823
12.4469223,84.72537761
10.36777246,38.53149573
34.66842349,792.3190882
10.45765074,43.88610212
10.2277234,57.94782521
72.95591909,3295.110164
14.9651296,82.32407563
10.67714054,62.88175215
25.32021824,421.9641396
11.55610965,72.9066131
10.20436981,50.14336983
14.35934367,72.91667227
10.78416868,54.17632105
43.53110293,1366.556229
12.61811686,50.30898892
11.01149137,56.07312551
14.36227836,74.43927549
10.6121362,31.16291852
10.61021408,40.16308416
10.68087619,58.777727
10.33867453,48.08553249
19.27796484,137.1860914
10.65923093,41.51924282
79.10137669,3649.982622
10.92692323,39.34143634
10.23147046,59.05740333
12.38427571,61.5566665
80.74777403,3319.647301
19.34986729,189.5646403
11.25610515,66.79700763
10.06267096,31.20349135
10.2017666,39.51099974
15.73682308,121.1099422
10.20049835,52.60409352
43.51221212,1143.381089
11.85866406,51.98597452
27.09095352,426.4544361
10.39742783,34.01119878
12.25160251,44.06687171
10.08669952,29.69252475
16.37963874,123.3434282
10.13977329,58.63484533
11.21871623,62.67524724
26.81017771,406.4466935
10.04496215,46.93885257
16.28347022,131.1598858
10.41802285,58.99490743
15.93769272,134.3455476
23.38359229,181.7578474
10.53159935,59.82502266
10.07274034,42.12482276
69.05444335,2877.493642
17.96743601,183.7801804
10.94096404,65.19668268
12.96877255,70.54322236
12.42833121,87.0650118
10.16911298,29.48915622
12.29295801,49.18667508
10.52973675,44.09700928
10.74707035,67.46699816
10.456387,60.50057856
10.69362554,51.10952911
23.0288118,320.1909667
91.29820869,5117.767815
10.26695137,60.55464807
10.01210327,42.1427025
15.12525358,91.68226636
10.16688237,49.87580687
11.07175716,39.77937265
10.02541528,42.49887303
10.11071254,39.84318816
17.89994212,104.8713801
11.35104435,49.97614441
13.48621893,92.36442396
11.20417902,38.71731517
10.34729261,48.05948512
11.06005844,73.17222032
18.29951976,152.720022
10.17681168,54.97272992
11.96001662,52.42814537
10.30456841,56.93933926
15.07781603,80.07482094
14.98524304,135.0552962
10.03988627,45.43432635
11.88504852,38.11844344
10.60915515,47.00860854
10.06579293,39.76127071
12.35404626,47.7521788
13.42387975,108.1272075
10.12311948,60.53151342
10.18491532,61.984587
16.53761908,184.6546478
10.08154479,30.03727937
24.62479872,307.6325403
11.32279331,64.46171675
10.84164967,57.93021523
10.02190573,38.99101901
12.90138207,84.29677479
10.13228433,31.15783571
10.80948545,70.34113926
12.24224573,59.65586101
20.20565907,287.5655907
13.67723986,98.31305626
27.6272992,474.906069
10.38567613,43.15436846
13.98642146,89.7939038
10.36109904,63.8827403
10.23184185,55.59148209
28.91455785,614.4105045
11.16437274,61.51476785
11.8653816,59.82903179
12.29589397,69.73267653
15.63449545,127.8685333
10.14994507,55.28215897
13.93721351,123.8203982
21.27610743,219.2107518
11.67038656,76.14427686
10.69533607,58.53988942
16.55923739,126.8066432
18.91542172,232.0305244
14.72688114,70.39011842
13.88967125,55.77650716
12.89482009,79.08200527
36.5500809,648.3957571
12.38579432,73.86265745
22.27347279,178.0138964
10.98860617,50.35330314
10.59756281,50.20073246
12.21820279,85.40671054
10.79684338,30.94529083
10.05133203,46.43757005
13.52062548,65.37435169
12.11674125,50.98931665
10.53761132,33.61909018
17.93023449,190.7152286
17.23018351,116.1095169
10.60494475,63.29718254
10.94892501,42.38256572
10.12720658,54.71291208
10.61188968,63.08214524
10.2054745,38.19940656
10.07754589,45.04845725
13.14370965,82.82303138
10.11754779,48.57915749
16.90902985,152.3260617
14.32477929,77.28319653
10.50880096,30.65264258
